ModuloParteAnotacao,PosiçãoInicial,Tamanho,Codigo,Numero,Descricao,Tipo,Categoria
,,,,,"Em quantos dias da semana, o(a) Sr(a) costuma comer pelo menos um tipo de verdura ou legume (sem contar batata, mandioca, cará ou inhame) como alface, tomate, couve, cenoura, chuchu, berinjela, abobrinha?",,Não aplicável
,646.0,1.0,P01001,P10a,"Em geral, o(a) Sr(a) costuma comer esse tipo de verdura ou legume:",1,Uma vez por dia (no almoço ou no jantar).
,,,,,"Em geral, o(a) Sr(a) costuma comer esse tipo de verdura ou legume:",2,Duas vezes por dia (no almoço e no jantar).        
,,,,,"Em geral, o(a) Sr(a) costuma comer esse tipo de verdura ou legume:",3,Três vezes ou mais por dia.
,,,,,"Em geral, o(a) Sr(a) costuma comer esse tipo de verdura ou legume:",9 ,Ignorado
,,,,,"Em geral, o(a) Sr(a) costuma comer esse tipo de verdura ou legume:",,Não aplicável
,647.0,1.0,P01101,P11a,"Em quantos dias da semana o(a) Sr(a) costuma comer carne vermelha (boi, porco, cabrito, bode, ovelha etc.)?",1 a 7,Dias
,,,,,"Em quantos dias da semana o(a) Sr(a) costuma comer carne vermelha (boi, porco, cabrito, bode, ovelha etc.)?",0,Nunca ou menos de uma vez por semana.
,,,,,"Em quantos dias da semana o(a) Sr(a) costuma comer carne vermelha (boi, porco, cabrito, bode, ovelha etc.)?",9 ,Ignorado
,,,,,"Em quantos dias da semana o(a) Sr(a) costuma comer carne vermelha (boi, porco, cabrito, bode, ovelha etc.)?",,Não aplicável
,648.0,1.0,P013,P13,Em quantos dias da semana o(a) Sr(a) costuma comer frango/galinha?,1 a 7,Dias
,,,,,Em quantos dias da semana o(a) Sr(a) costuma comer frango/galinha?,0,Nunca ou menos de uma vez por semana.
,,,,,Em quantos dias da semana o(a) Sr(a) costuma comer frango/galinha?,9 ,Ignorado
,,,,,Em quantos dias da semana o(a) Sr(a) costuma comer frango/galinha?,,Não aplicável
,649.0,1.0,P015,P15,Em quantos dias da semana o(a) Sr(a) costuma comer peixe?,1 a 7,Dias
,,,,,Em quantos dias da semana o(a) Sr(a) costuma comer peixe?,0,Nunca ou menos de uma vez por semana.
,,,,,Em quantos dias da semana o(a) Sr(a) costuma comer peixe?,9 ,Ignorado
,,,,,Em quantos dias da semana o(a) Sr(a) costuma comer peixe?,,Não aplicável
,650.0,1.0,P02001,P20a,Em quantos dias da semana o(a) Sr(a) costuma tomar suco de caixinha/lata ou refresco em pó ?,1 a 7,Dias
,,,,,Em quantos dias da semana o(a) Sr(a) costuma tomar suco de caixinha/lata ou refresco em pó ?,0,Nunca ou menos de uma vez por semana.
,,,,,Em quantos dias da semana o(a) Sr(a) costuma tomar suco de caixinha/lata ou refresco em pó ?,9 ,Ignorado
,,,,,Em quantos dias da semana o(a) Sr(a) costuma tomar suco de caixinha/lata ou refresco em pó ?,,Não aplicável
,651.0,1.0,P02101,P21a,Que tipo de suco de caixinha/lata ou refresco em pó o(a) Sr(a) costuma tomar? (Ler as opções de resposta),1,Diet/Light/Zero                                     
,,,,,Que tipo de suco de caixinha/lata ou refresco em pó o(a) Sr(a) costuma tomar? (Ler as opções de resposta),2,Normal
,,,,,Que tipo de suco de caixinha/lata ou refresco em pó o(a) Sr(a) costuma tomar? (Ler as opções de resposta),3,Ambos.
,,,,,Que tipo de suco de caixinha/lata ou refresco em pó o(a) Sr(a) costuma tomar? (Ler as opções de resposta),9 ,Ignorado
,,,,,Que tipo de suco de caixinha/lata ou refresco em pó o(a) Sr(a) costuma tomar? (Ler as opções de resposta),,Não aplicável
,652.0,1.0,P01601,P16a,Em quantos dias da semana o(a) Sr(a) costuma tomar suco de fruta natural (incluída a polpa de fruta congelada)?,1 a 7,Dias
,,,,,Em quantos dias da semana o(a) Sr(a) costuma tomar suco de fruta natural (incluída a polpa de fruta congelada)?,0,Nunca ou menos de uma vez por semana. 
,,,,,Em quantos dias da semana o(a) Sr(a) costuma tomar suco de fruta natural (incluída a polpa de fruta congelada)?,9 ,Ignorado
,,,,,Em quantos dias da semana o(a) Sr(a) costuma tomar suco de fruta natural (incluída a polpa de fruta congelada)?,,Não aplicável
,653.0,1.0,P018,P18,Em quantos dias da semana o(a) Sr(a) costuma comer frutas?,1 a 7,Dias
,,,,,Em quantos dias da semana o(a) Sr(a) costuma comer frutas?,0,Nunca ou menos de uma vez por semana.  
,,,,,Em quantos dias da semana o(a) Sr(a) costuma comer frutas?,9 ,Ignorado
,,,,,Em quantos dias da semana o(a) Sr(a) costuma comer frutas?,,Não aplicável
,654.0,1.0,P019,P19,"Em geral, quantas vezes por dia o(a) Sr(a) come frutas?",1,Uma vez por dia
,,,,,"Em geral, quantas vezes por dia o(a) Sr(a) come frutas?",2,Duas vezes por dia
,,,,,"Em geral, quantas vezes por dia o(a) Sr(a) come frutas?",3,Três vezes ou mais por dia.
,,,,,"Em geral, quantas vezes por dia o(a) Sr(a) come frutas?",9 ,Ignorado
,,,,,"Em geral, quantas vezes por dia o(a) Sr(a) come frutas?",,Não aplicável
,655.0,1.0,P02002,P20b,Em quantos dias da semana o(a) Sr(a) costuma tomar refrigerante?,1 a 7,Dias
,,,,,Em quantos dias da semana o(a) Sr(a) costuma tomar refrigerante?,0,Nunca ou menos de uma vez por semana. 
,,,,,Em quantos dias da semana o(a) Sr(a) costuma tomar refrigerante?,9 ,Ignorado
,,,,,Em quantos dias da semana o(a) Sr(a) costuma tomar refrigerante?,,Não aplicável
,656.0,1.0,P02102,P21b,Que tipo de refrigerante o(a) Sr(a) costuma tomar?,1,Diet/Light/Zero
,,,,,Que tipo de refrigerante o(a) Sr(a) costuma tomar?,2,Normal
,,,,,Que tipo de refrigerante o(a) Sr(a) costuma tomar?,3,Ambos
,,,,,Que tipo de refrigerante o(a) Sr(a) costuma tomar?,9 ,Ignorado
,,,,,Que tipo de refrigerante o(a) Sr(a) costuma tomar?,,Não aplicável
,657.0,1.0,P023,P23,"Em quantos dias da semana o(a) Sr(a) costuma tomar leite? (de origem animal: vaca, cabra, búfala etc.)",1 a 7,Dias
,,,,,"Em quantos dias da semana o(a) Sr(a) costuma tomar leite? (de origem animal: vaca, cabra, búfala etc.)",0,Nunca ou menos de uma vez por semana.
,,,,,"Em quantos dias da semana o(a) Sr(a) costuma tomar leite? (de origem animal: vaca, cabra, búfala etc.)",9 ,Ignorado
,,,,,"Em quantos dias da semana o(a) Sr(a) costuma tomar leite? (de origem animal: vaca, cabra, búfala etc.)",,Não aplicável
,658.0,1.0,P02401,P24a,Que tipo de leite o(a) Sr(a) costuma tomar?,1,Desnatado ou semidesnatado.
,,,,,Que tipo de leite o(a) Sr(a) costuma tomar?,2,Integral
,,,,,Que tipo de leite o(a) Sr(a) costuma tomar?,3,Os dois tipos
,,,,,Que tipo de leite o(a) Sr(a) costuma tomar?,9 ,Ignorado
,,,,,Que tipo de leite o(a) Sr(a) costuma tomar?,,Não aplicável
,659.0,1.0,P02501,P25a,"Em quantos dias da semana o(a) Sr(a) costuma comer alimentos doces como biscoito/bolacha recheado, chocolate, gelatina, balas e outros?",1 a 7,Dias
,,,,,"Em quantos dias da semana o(a) Sr(a) costuma comer alimentos doces como biscoito/bolacha recheado, chocolate, gelatina, balas e outros?",0,Nunca ou menos de uma vez por semana
,,,,,"Em quantos dias da semana o(a) Sr(a) costuma comer alimentos doces como biscoito/bolacha recheado, chocolate, gelatina, balas e outros?",9 ,Ignorado
,,,,,"Em quantos dias da semana o(a) Sr(a) costuma comer alimentos doces como biscoito/bolacha recheado, chocolate, gelatina, balas e outros?",,Não aplicável
,660.0,1.0,P02602,P26b,"Em quantos dias da semana o(a) Sr(a) costuma substituir a refeição do almoço por lanches rápidos como sanduíches, salgados, pizza, cachorro quente, etc?",1 a 7,Dias
,,,,,"Em quantos dias da semana o(a) Sr(a) costuma substituir a refeição do almoço por lanches rápidos como sanduíches, salgados, pizza, cachorro quente, etc?",0,Nunca ou menos de uma vez por semana
,,,,,"Em quantos dias da semana o(a) Sr(a) costuma substituir a refeição do almoço por lanches rápidos como sanduíches, salgados, pizza, cachorro quente, etc?",9 ,Ignorado
,,,,,"Em quantos dias da semana o(a) Sr(a) costuma substituir a refeição do almoço por lanches rápidos como sanduíches, salgados, pizza, cachorro quente, etc?",,Não aplicável
,661.0,1.0,P02601,P26a,"Considerando a comida preparada na hora e os alimentos industrializados, o(a) Sr(a) acha que o seu consumo de sal é:",1,Muito alto
,,,,,"Considerando a comida preparada na hora e os alimentos industrializados, o(a) Sr(a) acha que o seu consumo de sal é:",2,Alto
,,,,,"Considerando a comida preparada na hora e os alimentos industrializados, o(a) Sr(a) acha que o seu consumo de sal é:",3,Adequado
,,,,,"Considerando a comida preparada na hora e os alimentos industrializados, o(a) Sr(a) acha que o seu consumo de sal é:",4,Baixo
,,,,,"Considerando a comida preparada na hora e os alimentos industrializados, o(a) Sr(a) acha que o seu consumo de sal é:",5,Muito baixo
,,,,,"Considerando a comida preparada na hora e os alimentos industrializados, o(a) Sr(a) acha que o seu consumo de sal é:",9 ,Ignorado
,,,,,"Considerando a comida preparada na hora e os alimentos industrializados, o(a) Sr(a) acha que o seu consumo de sal é:",,Não aplicável
,662.0,1.0,P027,P27,Com que frequência o(a) Sr(a) costuma consumir alguma bebida alcoólica?,1,Não bebo nunca
,,,,,Com que frequência o(a) Sr(a) costuma consumir alguma bebida alcoólica?,2,Menos de uma vez por mês
,,,,,Com que frequência o(a) Sr(a) costuma consumir alguma bebida alcoólica?,3,Uma vez ou mais por mês
,,,,,Com que frequência o(a) Sr(a) costuma consumir alguma bebida alcoólica?,9 ,Ignorado
,,,,,Com que frequência o(a) Sr(a) costuma consumir alguma bebida alcoólica?,,Não aplicável
,663.0,1.0,P02801,P28a,Quantos dias por semana o(a) Sr(a) costuma consumir alguma bebida alcoólica?,1 a 7,Dias
,,,,,Quantos dias por semana o(a) Sr(a) costuma consumir alguma bebida alcoólica?,0,Nunca ou menos de uma vez por semana
,,,,,Quantos dias por semana o(a) Sr(a) costuma consumir alguma bebida alcoólica?,9 ,Ignorado
,,,,,Quantos dias por semana o(a) Sr(a) costuma consumir alguma bebida alcoólica?,,Não aplicável
,664.0,2.0,P029,P29,"Em geral, no dia que o(a) Sr(a) bebe, quantas doses de bebida alcoólica o(a) Sr(a) consome?",1 a 98,Doses
,,,,,"Em geral, no dia que o(a) Sr(a) bebe, quantas doses de bebida alcoólica o(a) Sr(a) consome?",99,Ignorado
,,,,,"Em geral, no dia que o(a) Sr(a) bebe, quantas doses de bebida alcoólica o(a) Sr(a) consome?",,Não aplicável
,666.0,1.0,P03201,P32a,"Nos últimos trinta dias, o(a) Sr(a) chegou a consumir cinco ou mais doses de bebida alcoólica em uma única ocasião?",1,Sim
,,,,,"Nos últimos trinta dias, o(a) Sr(a) chegou a consumir cinco ou mais doses de bebida alcoólica em uma única ocasião?",2,Não
,,,,,"Nos últimos trinta dias, o(a) Sr(a) chegou a consumir cinco ou mais doses de bebida alcoólica em uma única ocasião?",9 ,Ignorado
,,,,,"Nos últimos trinta dias, o(a) Sr(a) chegou a consumir cinco ou mais doses de bebida alcoólica em uma única ocasião?",,Não aplicável
,667.0,2.0,P03202,P32b,"Quando isso ocorreu, qual foi o número máximo de doses consumido em uma única ocasião?",1 a 98,Doses
,,,,,"Quando isso ocorreu, qual foi o número máximo de doses consumido em uma única ocasião?",99,Ignorado
,,,,,"Quando isso ocorreu, qual foi o número máximo de doses consumido em uma única ocasião?",,Não aplicável
,669.0,1.0,P03001,P30a,"Nos últimos doze meses, quando consumiu bebida alcoólica, o(a) Sr(a) dirigiu logo depois de beber?",1,Sim
,,,,,"Nos últimos doze meses, quando consumiu bebida alcoólica, o(a) Sr(a) dirigiu logo depois de beber?",2,Não
,,,,,"Nos últimos doze meses, quando consumiu bebida alcoólica, o(a) Sr(a) dirigiu logo depois de beber?",9 ,Ignorado
,,,,,"Nos últimos doze meses, quando consumiu bebida alcoólica, o(a) Sr(a) dirigiu logo depois de beber?",,Não aplicável
,670.0,1.0,P03301,P33a,"Nos últimos doze meses, quantas vezes o(a) Sr(a) deixou de trabalhar, realizar afazeres domésticos, ir à escola, curso ou faculdade, fazer compras, etc. porque bebeu demais?",1,Nenhuma vez.
,,,,,"Nos últimos doze meses, quantas vezes o(a) Sr(a) deixou de trabalhar, realizar afazeres domésticos, ir à escola, curso ou faculdade, fazer compras, etc. porque bebeu demais?",2,Uma vez por mês ou menos
,,,,,"Nos últimos doze meses, quantas vezes o(a) Sr(a) deixou de trabalhar, realizar afazeres domésticos, ir à escola, curso ou faculdade, fazer compras, etc. porque bebeu demais?",3,Duas a quatro vezes por mês
,,,,,"Nos últimos doze meses, quantas vezes o(a) Sr(a) deixou de trabalhar, realizar afazeres domésticos, ir à escola, curso ou faculdade, fazer compras, etc. porque bebeu demais?",4,Duas a três vezes por semana
,,,,,"Nos últimos doze meses, quantas vezes o(a) Sr(a) deixou de trabalhar, realizar afazeres domésticos, ir à escola, curso ou faculdade, fazer compras, etc. porque bebeu demais?",5,Quatro ou mais vezes por semana
,,,,,"Nos últimos doze meses, quantas vezes o(a) Sr(a) deixou de trabalhar, realizar afazeres domésticos, ir à escola, curso ou faculdade, fazer compras, etc. porque bebeu demais?",9 ,Ignorado
,,,,,"Nos últimos doze meses, quantas vezes o(a) Sr(a) deixou de trabalhar, realizar afazeres domésticos, ir à escola, curso ou faculdade, fazer compras, etc. porque bebeu demais?",,Não aplicável
,671.0,1.0,P03302,P33b,"Nos últimos doze meses, quantas vezes, depois/após ter bebido, o(a) Sr(a) não conseguiu lembrar o que aconteceu?",1,Nenhuma vez.
,,,,,"Nos últimos doze meses, quantas vezes, depois/após ter bebido, o(a) Sr(a) não conseguiu lembrar o que aconteceu?",2,Uma vez por mês ou menos
,,,,,"Nos últimos doze meses, quantas vezes, depois/após ter bebido, o(a) Sr(a) não conseguiu lembrar o que aconteceu?",3,Duas a quatro vezes por mês
,,,,,"Nos últimos doze meses, quantas vezes, depois/após ter bebido, o(a) Sr(a) não conseguiu lembrar o que aconteceu?",4,Duas a três vezes por semana
,,,,,"Nos últimos doze meses, quantas vezes, depois/após ter bebido, o(a) Sr(a) não conseguiu lembrar o que aconteceu?",5,Quatro ou mais vezes por semana
,,,,,"Nos últimos doze meses, quantas vezes, depois/após ter bebido, o(a) Sr(a) não conseguiu lembrar o que aconteceu?",9 ,Ignorado
,,,,,"Nos últimos doze meses, quantas vezes, depois/após ter bebido, o(a) Sr(a) não conseguiu lembrar o que aconteceu?",,Não aplicável
,672.0,1.0,P03303,P33c,"Nos últimos doze meses, algum parente, amigo ou profissional de saúde disse que você estava bebendo demais ou para você parar de beber?",1,Não
,,,,,"Nos últimos doze meses, algum parente, amigo ou profissional de saúde disse que você estava bebendo demais ou para você parar de beber?",2,"Sim, em uma ocasião"
,,,,,"Nos últimos doze meses, algum parente, amigo ou profissional de saúde disse que você estava bebendo demais ou para você parar de beber?",3,"Sim, em mais de uma ocasião"
,,,,,"Nos últimos doze meses, algum parente, amigo ou profissional de saúde disse que você estava bebendo demais ou para você parar de beber?",9 ,Ignorado
,,,,,"Nos últimos doze meses, algum parente, amigo ou profissional de saúde disse que você estava bebendo demais ou para você parar de beber?",,Não aplicável
,673.0,1.0,P034,P34,"Nos últimos três meses, o(a) Sr(a) praticou algum tipo de exercício físico ou esporte?",1,Sim
,,,,,"Nos últimos três meses, o(a) Sr(a) praticou algum tipo de exercício físico ou esporte?",2,Não
,,,,,"Nos últimos três meses, o(a) Sr(a) praticou algum tipo de exercício físico ou esporte?",9 ,Ignorado
,,,,,"Nos últimos três meses, o(a) Sr(a) praticou algum tipo de exercício físico ou esporte?",,Não aplicável
,674.0,1.0,P035,P35,Quantos dias por semana o(a) Sr(a) costuma  (costumava)praticar exercício físico ou esporte?,1 a 7,Dias
,,,,,Quantos dias por semana o(a) Sr(a) costuma  (costumava)praticar exercício físico ou esporte?,0,Nunca ou menos de uma vez por semana
,,,,,Quantos dias por semana o(a) Sr(a) costuma  (costumava)praticar exercício físico ou esporte?,9 ,Ignorado
,,,,,Quantos dias por semana o(a) Sr(a) costuma  (costumava)praticar exercício físico ou esporte?,,Não aplicável
,675.0,2.0,P03701,P37,"Em geral, no dia que o(a) Sr(a) pratica exercício ou esporte, quanto tempo em horas dura essa atividade? Horas",0 a 24,Horas
,,,,,"Em geral, no dia que o(a) Sr(a) pratica exercício ou esporte, quanto tempo em horas dura essa atividade? Horas",9 ,Ignorado
,,,,,"Em geral, no dia que o(a) Sr(a) pratica exercício ou esporte, quanto tempo em horas dura essa atividade? Horas",,Não aplicável
,677.0,2.0,P03702,P37,"Em geral, no dia que o(a) Sr(a) pratica (praticava) exercício ou esporte, quanto tempo em minutos dura essa atividade?Minutos",0 a 59,Minutos
,,,,,"Em geral, no dia que o(a) Sr(a) pratica (praticava) exercício ou esporte, quanto tempo em minutos dura essa atividade?Minutos",99,Ignorado
,,,,,"Em geral, no dia que o(a) Sr(a) pratica (praticava) exercício ou esporte, quanto tempo em minutos dura essa atividade?Minutos",,Não aplicável
,679.0,2.0,P036,P36,Qual o exercício físico ou esporte que o(a) Sr(a) pratica (praticava) com mais frequência? (Anotar apenas o primeiro citado),01,Caminhada (não vale para o trabalho)
,,,,,Qual o exercício físico ou esporte que o(a) Sr(a) pratica (praticava) com mais frequência? (Anotar apenas o primeiro citado),02,Caminhada em esteira
,,,,,Qual o exercício físico ou esporte que o(a) Sr(a) pratica (praticava) com mais frequência? (Anotar apenas o primeiro citado),03,Corrida/cooper
,,,,,Qual o exercício físico ou esporte que o(a) Sr(a) pratica (praticava) com mais frequência? (Anotar apenas o primeiro citado),04,Corrida em esteira
,,,,,Qual o exercício físico ou esporte que o(a) Sr(a) pratica (praticava) com mais frequência? (Anotar apenas o primeiro citado),05,Musculação
,,,,,Qual o exercício físico ou esporte que o(a) Sr(a) pratica (praticava) com mais frequência? (Anotar apenas o primeiro citado),06,Ginástica aeróbica/spinning/step/jump
,,,,,Qual o exercício físico ou esporte que o(a) Sr(a) pratica (praticava) com mais frequência? (Anotar apenas o primeiro citado),07,Hidroginástica
,,,,,Qual o exercício físico ou esporte que o(a) Sr(a) pratica (praticava) com mais frequência? (Anotar apenas o primeiro citado),08,Ginástica / localizada/pilates/alongamento/ioga
,,,,,Qual o exercício físico ou esporte que o(a) Sr(a) pratica (praticava) com mais frequência? (Anotar apenas o primeiro citado),09,Natação
,,,,,Qual o exercício físico ou esporte que o(a) Sr(a) pratica (praticava) com mais frequência? (Anotar apenas o primeiro citado),10,Artes marciais e luta
,,,,,Qual o exercício físico ou esporte que o(a) Sr(a) pratica (praticava) com mais frequência? (Anotar apenas o primeiro citado),11,Bicicleta/bicicleta ergométrica
,,,,,Qual o exercício físico ou esporte que o(a) Sr(a) pratica (praticava) com mais frequência? (Anotar apenas o primeiro citado),12,Futebol
,,,,,Qual o exercício físico ou esporte que o(a) Sr(a) pratica (praticava) com mais frequência? (Anotar apenas o primeiro citado),13,Basquetebol
,,,,,Qual o exercício físico ou esporte que o(a) Sr(a) pratica (praticava) com mais frequência? (Anotar apenas o primeiro citado),14,Voleibol
,,,,,Qual o exercício físico ou esporte que o(a) Sr(a) pratica (praticava) com mais frequência? (Anotar apenas o primeiro citado),15,Tênis
,,,,,Qual o exercício físico ou esporte que o(a) Sr(a) pratica (praticava) com mais frequência? (Anotar apenas o primeiro citado),16,Dança (com o objetivo de praticar atividade física)
,,,,,Qual o exercício físico ou esporte que o(a) Sr(a) pratica (praticava) com mais frequência? (Anotar apenas o primeiro citado),17,Outro 
,,,,,Qual o exercício físico ou esporte que o(a) Sr(a) pratica (praticava) com mais frequência? (Anotar apenas o primeiro citado),99,Ignorado
,,,,,Qual o exercício físico ou esporte que o(a) Sr(a) pratica (praticava) com mais frequência? (Anotar apenas o primeiro citado),,Não aplicável
,681.0,1.0,P038,P38,"No seu trabalho, o(a) Sr(a) anda bastante a pé?",1,Sim
,,,,,"No seu trabalho, o(a) Sr(a) anda bastante a pé?",2,Não
,,,,,"No seu trabalho, o(a) Sr(a) anda bastante a pé?",9 ,Ignorado
,,,,,"No seu trabalho, o(a) Sr(a) anda bastante a pé?",,Não aplicável
,682.0,1.0,P039,P39,"No seu trabalho, o(a) Sr(a) faz faxina pesada, carrega peso ou faz outra atividade pesada que requer esforço físico intenso?",1,Sim
,,,,,"No seu trabalho, o(a) Sr(a) faz faxina pesada, carrega peso ou faz outra atividade pesada que requer esforço físico intenso?",2,Não
,,,,,"No seu trabalho, o(a) Sr(a) faz faxina pesada, carrega peso ou faz outra atividade pesada que requer esforço físico intenso?",9 ,Ignorado
,,,,,"No seu trabalho, o(a) Sr(a) faz faxina pesada, carrega peso ou faz outra atividade pesada que requer esforço físico intenso?",,Não aplicável
,683.0,1.0,P03904,P39c,"Em uma semana normal, em quantos dias, o(a) Sr(a) anda bastante a pé ou faz essas atividades pesadas ou que requerem esforço físico no seu trabalho?",1 a 7 ,Dias
,,,,,"Em uma semana normal, em quantos dias, o(a) Sr(a) anda bastante a pé ou faz essas atividades pesadas ou que requerem esforço físico no seu trabalho?",9 ,Ignorado
,,,,,"Em uma semana normal, em quantos dias, o(a) Sr(a) anda bastante a pé ou faz essas atividades pesadas ou que requerem esforço físico no seu trabalho?",,Não aplicável
,684.0,2.0,P03905,P39d,"Em um dia normal, quanto tempo o(a) Sr(a) passa andando bastante a pé ou realizando essas atividades pesadas ou que requerem esforço físico no seu trabalho?Horas",0 a 24,Horas
,,,,,"Em um dia normal, quanto tempo o(a) Sr(a) passa andando bastante a pé ou realizando essas atividades pesadas ou que requerem esforço físico no seu trabalho?Horas",9 ,Ignorado
,,,,,"Em um dia normal, quanto tempo o(a) Sr(a) passa andando bastante a pé ou realizando essas atividades pesadas ou que requerem esforço físico no seu trabalho?Horas",,Não aplicável
,686.0,2.0,P03906,P39d,"Em um dia normal, quanto tempo o(a) Sr(a) passa andando bastante a pé ou realizando atividades essas atividades pesadas ou que requerem esforço físico no seu trabalho? Minutos",0 a 59,Minutos
,,,,,"Em um dia normal, quanto tempo o(a) Sr(a) passa andando bastante a pé ou realizando atividades essas atividades pesadas ou que requerem esforço físico no seu trabalho? Minutos",99,Ignorado
,,,,,"Em um dia normal, quanto tempo o(a) Sr(a) passa andando bastante a pé ou realizando atividades essas atividades pesadas ou que requerem esforço físico no seu trabalho? Minutos",,Não aplicável
,688.0,1.0,P040,P40,"Para ir ou voltar do trabalho, o(a) Sr(a) faz algum trajeto a pé ou de bicicleta?",1,"Sim, todo o trajeto"
,,,,,"Para ir ou voltar do trabalho, o(a) Sr(a) faz algum trajeto a pé ou de bicicleta?",2,"Sim, parte do trajeto"
,,,,,"Para ir ou voltar do trabalho, o(a) Sr(a) faz algum trajeto a pé ou de bicicleta?",3,Não
,,,,,"Para ir ou voltar do trabalho, o(a) Sr(a) faz algum trajeto a pé ou de bicicleta?",9 ,Ignorado
,,,,,"Para ir ou voltar do trabalho, o(a) Sr(a) faz algum trajeto a pé ou de bicicleta?",,Não aplicável
,689.0,1.0,P04001,P40a,Quantos dias por semana o(a) Sr(a) faz algum trajeto a pé ou bicicleta?,1 a 7 ,Dias
,,,,,Quantos dias por semana o(a) Sr(a) faz algum trajeto a pé ou bicicleta?,0,Nunca ou menos de uma vez por semana
,,,,,Quantos dias por semana o(a) Sr(a) faz algum trajeto a pé ou bicicleta?,9 ,Ignorado
,,,,,Quantos dias por semana o(a) Sr(a) faz algum trajeto a pé ou bicicleta?,,Não aplicável
,690.0,2.0,P04101,P41,"Quanto tempo o(a) Sr(a) gasta, por dia, para percorrer este trajeto a pé ou de bicicleta, considerando a ida e a volta do trabalho?Horas",0 a 24,Horas
,,,,,"Quanto tempo o(a) Sr(a) gasta, por dia, para percorrer este trajeto a pé ou de bicicleta, considerando a ida e a volta do trabalho?Horas",99,Ignorado
,,,,,"Quanto tempo o(a) Sr(a) gasta, por dia, para percorrer este trajeto a pé ou de bicicleta, considerando a ida e a volta do trabalho?Horas",,Não aplicável
,692.0,2.0,P04102,P41,"Quanto tempo o(a) Sr(a) gasta, por dia, para percorrer este trajeto a pé ou de bicicleta, considerando a ida e a volta do trabalho?Minutos",0 a 59,Minutos
,,,,,"Quanto tempo o(a) Sr(a) gasta, por dia, para percorrer este trajeto a pé ou de bicicleta, considerando a ida e a volta do trabalho?Minutos",99,Ignorado
,,,,,"Quanto tempo o(a) Sr(a) gasta, por dia, para percorrer este trajeto a pé ou de bicicleta, considerando a ida e a volta do trabalho?Minutos",,Não aplicável
,694.0,1.0,P042,P42,"Nas suas atividades habituais (tais como ir a algum curso, escola ou clube ou levar alguém a algum curso, escola ou clube), quantos dias por semana o(a) Sr(a) faz alguma atividade que envolva deslocamento a pé ou bicicleta? (Exceto o trabalho)",1  a 7 ,Dias
,,,,,"Nas suas atividades habituais (tais como ir a algum curso, escola ou clube ou levar alguém a algum curso, escola ou clube), quantos dias por semana o(a) Sr(a) faz alguma atividade que envolva deslocamento a pé ou bicicleta? (Exceto o trabalho)",0,Nunca ou menos de uma vez por semana
,,,,,"Nas suas atividades habituais (tais como ir a algum curso, escola ou clube ou levar alguém a algum curso, escola ou clube), quantos dias por semana o(a) Sr(a) faz alguma atividade que envolva deslocamento a pé ou bicicleta? (Exceto o trabalho)",9 ,Ignorado
,,,,,"Nas suas atividades habituais (tais como ir a algum curso, escola ou clube ou levar alguém a algum curso, escola ou clube), quantos dias por semana o(a) Sr(a) faz alguma atividade que envolva deslocamento a pé ou bicicleta? (Exceto o trabalho)",,Não aplicável
,695.0,2.0,P04301,P43,"No dia em que o(a) Sr(a) faz essa(s) atividade(s), quanto tempo o(a) Sr(a) gasta no deslocamento a pé ou de bicicleta, considerando Ida e Volta?Horas",0 a 24,Horas
,,,,,"No dia em que o(a) Sr(a) faz essa(s) atividade(s), quanto tempo o(a) Sr(a) gasta no deslocamento a pé ou de bicicleta, considerando Ida e Volta?Horas",99,Ignorado
,,,,,"No dia em que o(a) Sr(a) faz essa(s) atividade(s), quanto tempo o(a) Sr(a) gasta no deslocamento a pé ou de bicicleta, considerando Ida e Volta?Horas",,Não aplicável
,697.0,2.0,P04302,P43,"No dia em que o(a) Sr(a) faz essa(s) atividade(s), quanto tempo o(a) Sr(a) gasta no deslocamento a pé ou de bicicleta, considerando Ida e Volta?Minutos",0 a 59,Minutos
,,,,,"No dia em que o(a) Sr(a) faz essa(s) atividade(s), quanto tempo o(a) Sr(a) gasta no deslocamento a pé ou de bicicleta, considerando Ida e Volta?Minutos",99,Ignorado
,,,,,"No dia em que o(a) Sr(a) faz essa(s) atividade(s), quanto tempo o(a) Sr(a) gasta no deslocamento a pé ou de bicicleta, considerando Ida e Volta?Minutos",,Não aplicável
,699.0,1.0,P044,P44,"Nas suas atividades domésticas, o(a) Sr(a) faz faxina pesada, carrega peso ou faz outra atividade pesada que requer esforço físico intenso? (não considerar atividade doméstica remunerada)",1,Sim
,,,,,"Nas suas atividades domésticas, o(a) Sr(a) faz faxina pesada, carrega peso ou faz outra atividade pesada que requer esforço físico intenso? (não considerar atividade doméstica remunerada)",2,Não
,,,,,"Nas suas atividades domésticas, o(a) Sr(a) faz faxina pesada, carrega peso ou faz outra atividade pesada que requer esforço físico intenso? (não considerar atividade doméstica remunerada)",9 ,Ignorado
,,,,,"Nas suas atividades domésticas, o(a) Sr(a) faz faxina pesada, carrega peso ou faz outra atividade pesada que requer esforço físico intenso? (não considerar atividade doméstica remunerada)",,Não aplicável
,700.0,1.0,P04401,P44a,"Em uma semana normal, nas suas atividades domésticas, em quantos dias o(a) Sr(a) faz faxina pesada ou realiza atividades que requerem esforço físico intenso? (não considerar atividade doméstica remunerada)",1 a 7,Dias
